item_id,source_story_id,source_split,domain,difficulty,original_norm,situation,intention,action,consequence,pair_type,primary_diagnostic_dimension,case_a_text,case_b_text,case_a_outward_act_summary,case_b_outward_act_summary,case_a_motive_summary,case_b_motive_summary,case_a_consequence_summary,case_b_consequence_summary,case_a_rule_summary,case_b_rule_summary,gold_task_a,gold_task_b,gold_task_c,adjudication_note,benchmark_role,study_split,held_constant,changed_dimension,include_in_mvp,author,review_status,notes
MSMC_001,33JKGHPFYDS9RZ09Z86KG07T1N8MN7,full,friendship,medium,It is inconsiderate cancel a reservation at the last minute.,"Darryl made a reservation at a restaurant, with an elaborate plan in place to propose to his girlfriend, but he and his girlfriend are now in a fight.",Darryl has to decide whether to cancel the reservation or not.,Darryl calls the restaurant as soon as he suspects the reservation may no longer be necessary. / Darryl calls the restaurant as soon as he suspects the reservation may no longer be necessary.,The restaurant adjusts its plans in time and avoids a last-minute disruption. / The restaurant adjusts its plans in time and avoids a last-minute disruption.,same_act_different_motive,motive,Darryl calls the restaurant as soon as he suspects the proposal plan may fall through mainly so the staff will still think of him as considerate and not charge him for wasted preparation.,Darryl calls the restaurant as soon as he suspects the proposal plan may fall through because he realizes the staff have planned around the reservation and wants to respect their time.,Calls the restaurant early to cancel or release the reservation.,Calls the restaurant early to cancel or release the reservation.,Protect his image and avoid being charged.,Respect the staff's time and preparation.,The restaurant adjusts its plans in time and avoids a last-minute disruption.,The restaurant adjusts its plans in time and avoids a last-minute disruption.,Cancel reservations promptly when plans change.,Cancel reservations promptly when plans change.,A,A,motive,"Both cases call early, but case A is primarily self-protective image management while case B reflects real regard for others affected by the reservation.",motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_002,39L1G8WVWRP5R6LAO337NULKWYT139,full,workplace,easy,It's good to be responsible and work.,Jay's job is offering extra shifts to employees because they're understaffed.,Jay wants to pick up some extra hours at work.,Jay volunteers for an extra shift and works hard throughout it. / Jay volunteers for an extra shift and works hard throughout it.,Jay's boss notices that he did strong work on the extra shift. / Jay's boss notices that he did strong work on the extra shift.,same_act_different_motive,motive,Jay volunteers for the extra shift and works hard because the team is understaffed and he wants to carry his share of the load.,Jay volunteers for the extra shift and works hard because he wants his boss to notice that he is more dedicated than the other employees.,Volunteers for an extra shift and works hard during it.,Volunteers for an extra shift and works hard during it.,Help an understaffed team carry the workload.,Outshine coworkers and bank personal credit with the boss.,Jay's boss notices that he did strong work on the extra shift.,Jay's boss notices that he did strong work on the extra shift.,Work responsibly when you take an extra shift.,Work responsibly when you take an extra shift.,B,B,motive,The same hard work can arise from shared responsibility or from comparative self-display; case B has the worse inward orientation.,motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_003,3SB5N7Y3O426ETCGNZ6RSJRJW6S0G4,full,family,medium,Getting rid of important family items is disrespectful.,Paula is helping her parents move to a different town and their house has many items such as albums.,Paula wants to clean out her parent's house.,Paula asks her parents about the picture albums she finds and what should be done with them. / Paula asks her parents about the picture albums she finds and what should be done with them.,Paula's parents explain the albums and decide how to handle them. / Paula's parents explain the albums and decide how to handle them.,same_act_different_motive,motive,Paula asks her parents about the picture albums because she wants first claim on anything sentimental before anyone else in the family notices it.,Paula asks her parents about the picture albums because she knows they carry family memories and does not want to discard them carelessly.,Asks her parents what should be done with the picture albums.,Asks her parents what should be done with the picture albums.,Angle for first claim on sentimental property.,Protect family memories from careless loss.,Paula's parents explain the albums and decide how to handle them.,Paula's parents explain the albums and decide how to handle them.,Handle important family items with respect.,Handle important family items with respect.,A,A,motive,"Both cases pause before discarding family albums, but case A does so to secure personal advantage rather than to honor family memory.",motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_004,3G2UL9A02ECIZBNUWLIEV7OHAVU76M,full,community,easy,You shouldn't open someone else's mailbox.,"Todd was waiting for a new credit card in the mail, but he didn't receive it.",Todd wants to check if his neighbors received his mail instead.,Todd asks his neighbors whether any of his mail was delivered to them by mistake. / Todd asks his neighbors whether any of his mail was delivered to them by mistake.,Todd learns whether the neighbors received any mail meant for him. / Todd learns whether the neighbors received any mail meant for him.,same_act_different_motive,motive,Todd asks his neighbors whether any of his missing mail was delivered to them because he wants to recover the card respectfully without accusing anyone.,Todd asks his neighbors whether any of his missing mail was delivered to them because he wants them to feel watched and implicitly blamed if they have it.,Asks neighbors whether they received his missing mail.,Asks neighbors whether they received his missing mail.,Recover the card respectfully and without accusation.,Apply social pressure and implied blame.,Todd learns whether the neighbors received any mail meant for him.,Todd learns whether the neighbors received any mail meant for him.,Ask neighbors politely before assuming wrongdoing.,Ask neighbors politely before assuming wrongdoing.,B,B,motive,"The question is outwardly the same, but case B uses it to insinuate guilt rather than to seek help respectfully.",motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_005,3VA45EW49OLUDVEW71NZBXJVTXOO18,full,friendship,medium,It's frowned upon snoop in someone's phone.,Barry notices his boyfriend has been staying late at work and has been distant lately.,Barry wants to find out if his boyfriend is having an affair.,Barry asks his boyfriend directly to be truthful about why he has been distant. / Barry asks his boyfriend directly to be truthful about why he has been distant.,Barry's boyfriend responds to the direct question. / Barry's boyfriend responds to the direct question.,same_norm_different_heart,motive,Barry asks his boyfriend directly to be truthful about why he has been distant because he wants an honest conversation and a chance to rebuild trust.,Barry asks his boyfriend directly to be truthful about why he has been distant because he wants a confession he can hold over him later.,Asks his boyfriend directly what is going on.,Asks his boyfriend directly what is going on.,Seek honest dialogue and restored trust.,Acquire leverage through a confession.,Barry's boyfriend responds to the direct question.,Barry's boyfriend responds to the direct question.,Address suspicion directly rather than snooping.,Address suspicion directly rather than snooping.,B,B,motive,"Both cases avoid snooping and ask directly, but case B pursues truth as leverage rather than as part of honest repair.",motive_main,candidate,The outwardly norm-compliant behavior and immediate visible social outcome are held constant across A and B.,"The pair differs in heart posture: sincere regard versus leverage, resentment, or self-display.",yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_006,3LYA37P8IRLC02B9B6OVASFVVTWBKZ,full,family,medium,It's not okay to give up on your child.,"Joan warned her son that he'd get in big trouble if he ever got arrested again, and he got arrested.",Joan needs to either punish or help her son.,Joan gets her son out of jail and talks with him about what is going on in his life. / Joan gets her son out of jail and talks with him about what is going on in his life.,Joan's son leaves jail and talks with her about his problems. / Joan's son leaves jail and talks with her about his problems.,same_act_different_motive,motive,Joan gets her son out of jail and talks to him about what he is going through because she wants to understand him and help him change course.,Joan gets her son out of jail and talks to him about what he is going through because she wants him to feel indebted and easier to control afterward.,Gets her son out of jail and talks with him about his problems.,Gets her son out of jail and talks with him about his problems.,Help her son and understand what led him there.,Deepen his dependence and indebtedness.,Joan's son leaves jail and talks with her about his problems.,Joan's son leaves jail and talks with her about his problems.,Do not abandon your child when help is still possible.,Do not abandon your child when help is still possible.,B,B,motive,The same rescuing act can be oriented toward care or toward control; case B is morally worse at the level of heart orientation.,motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_007,3300DTYQT3FWI8LOY2AI7MXPV4PQE8,full,community,easy,It's not okay to ruin your home.,"Jeff likes to party and use fireworks, which his landlord allows him to do as long as he is respectful of the home.",Jeff wants to throw a big party tonight.,Jeff makes sure the fireworks are set off in the backyard away from the house. / Jeff makes sure the fireworks are set off in the backyard away from the house.,The fireworks go off without damaging the house. / The fireworks go off without damaging the house.,same_act_different_motive,motive,Jeff keeps everyone in the backyard away from the house before setting off fireworks because he wants the guests and the property to stay safe.,Jeff keeps everyone in the backyard away from the house before setting off fireworks because he wants the party to continue without giving the landlord a reason to step in.,Keeps the fireworks away from the house.,Keeps the fireworks away from the house.,Protect people and property from harm.,Preserve the party and avoid outside interference.,The fireworks go off without damaging the house.,The fireworks go off without damaging the house.,Use fireworks carefully so you do not damage the home.,Use fireworks carefully so you do not damage the home.,B,B,motive,"Both cases avoid property damage, but case B treats safety mainly as a way to keep the party going without consequences.",motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_008,3LQ8PUHQFMQVLKO7BVDFJN3GWWAIHV,full,friendship,medium,It is kind to hose people in your home.,Lorne's old friend from college just called him to ask him if him and his wife could stay at Lorne's place while they are visiting Lorne's city.,Lorne wants his house to be tidy and impeccable at all times.,Lorne agrees to host his old friend and his wife and asks them to keep their belongings in one room. / Lorne agrees to host his old friend and his wife and asks them to keep their belongings in one room.,Lorne's friend and his wife stay at Lorne's house during the visit. / Lorne's friend and his wife stay at Lorne's house during the visit.,same_norm_different_heart,motive,Lorne agrees to host his old friend and his wife and asks them to keep their things in one room because he wants to welcome them while keeping the visit workable for everyone.,Lorne agrees to host his old friend and his wife and asks them to keep their things in one room because he wants the credit for generosity while inwardly resenting their presence.,Hosts an old friend and asks that their belongings stay in one room.,Hosts an old friend and asks that their belongings stay in one room.,Offer hospitality with a workable boundary.,Collect credit for generosity while inwardly resentful.,Lorne's friend and his wife stay at Lorne's house during the visit.,Lorne's friend and his wife stay at Lorne's house during the visit.,"If you host guests, do it with real hospitality rather than grudging display.","If you host guests, do it with real hospitality rather than grudging display.",B,B,motive,"Both cases outwardly host the guests, but case B is driven by performative generosity shot through with resentment.",motive_main,candidate,The outwardly norm-compliant behavior and immediate visible social outcome are held constant across A and B.,"The pair differs in heart posture: sincere regard versus leverage, resentment, or self-display.",yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_009,31N2WW6R9SOWHLFIV2ISCWPEYS1F3I,full,friendship,easy,It's rude to comment negatively on people's clothing.,"Jim's friend got a new pair of jeans, and they ask Jim how they look in them.",Jim wants to tell his friend what he thinks of their jeans.,Jim tells his friend that the jeans look fine. / Jim tells his friend that the jeans look fine.,Jim's friend feels more settled about wearing the jeans. / Jim's friend feels more settled about wearing the jeans.,same_act_different_motive,motive,Jim says the jeans look fine mainly because he wants to avoid awkwardness now and joke about the outfit with someone else later.,Jim says the jeans look fine because his friend is clearly anxious and he wants to reassure them kindly.,Tells his friend that the jeans look fine.,Tells his friend that the jeans look fine.,Avoid immediate awkwardness before later mockery.,Calm a friend's insecurity with kindness.,Jim's friend feels more settled about wearing the jeans.,Jim's friend feels more settled about wearing the jeans.,Respond kindly when a friend asks for reassurance.,Respond kindly when a friend asks for reassurance.,A,A,motive,"The compliment is the same, but case A is insincere reassurance used to sidestep discomfort rather than to care for the friend.",motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_010,33C7UALJVMWRS3RG0KY3EBTVC9K18E,full,workplace,easy,You shouldn't lie about being sick.,Rick has stayed up all night watching a series on Netflix and is scheduled to work in the morning.,Rick wants to take the day off.,Rick uses his approved personal time to take the day off. / Rick uses his approved personal time to take the day off.,Rick stays home using approved leave instead of calling in sick. / Rick stays home using approved leave instead of calling in sick.,same_act_different_motive,motive,Rick uses one of his personal days to take the day off mainly because he wants to avoid being caught in a lie after staying up all night irresponsibly.,Rick uses one of his personal days to take the day off because he wants the day off without burdening coworkers and his boss with a false sick story.,Uses approved personal time rather than claiming to be sick.,Uses approved personal time rather than claiming to be sick.,Avoid getting caught after irresponsible behavior.,Take leave honestly rather than deceive coworkers and boss.,Rick stays home using approved leave instead of calling in sick.,Rick stays home using approved leave instead of calling in sick.,"If you take the day off, do it honestly rather than by lying.","If you take the day off, do it honestly rather than by lying.",A,A,motive,"Both cases use legitimate leave, but case A is driven only by self-protective fear of getting caught rather than any regard for honesty.",motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_011,3BC8WZX3V4UL3D5TXNJIBJ6D8EBRRH,full,family,easy,You shouldn't hate a parent over something minor.,Tim was upset because his mom made him go to bed half an hour earlier than his friends.,Tim wants to explain how he feels.,Tim sits down with his mother and explains why the issue felt big to him. / Tim sits down with his mother and explains why the issue felt big to him.,Tim has a direct conversation with his mother about the issue. / Tim has a direct conversation with his mother about the issue.,same_norm_different_heart,motive,Tim sits down with his mother and explains why the issue felt big to him because he wants to make her feel guilty and win future concessions over a minor rule.,Tim sits down with his mother and explains why the issue felt big to him because he wants to be heard without ranting or lashing out.,Sits down with his mother and explains how he feels.,Sits down with his mother and explains how he feels.,Manipulate his mother through guilt over a minor grievance.,Express his feelings without escalating the conflict.,Tim has a direct conversation with his mother about the issue.,Tim has a direct conversation with his mother about the issue.,Address family frustration without explosive complaint.,Address family frustration without explosive complaint.,A,A,motive,"Both cases avoid ranting, but case A turns calm speech into a guilt tactic rather than an honest attempt at understanding.",motive_main,candidate,The outwardly norm-compliant behavior and immediate visible social outcome are held constant across A and B.,"The pair differs in heart posture: sincere regard versus leverage, resentment, or self-display.",yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
MSMC_012,3RGU30DZTB6D899OKAESNTQCSF4JMP,full,family,easy,It is good to discuss holiday plans early.,Susan and her family spend a weekend together for every Christmas break.,Susan wants to make plans for the holiday.,Susan starts planning the family holiday well in advance. / Susan starts planning the family holiday well in advance.,Family members have the dates early enough to organize their schedules. / Family members have the dates early enough to organize their schedules.,same_act_different_motive,motive,Susan starts planning the family holiday in August because she wants to lock everyone into the version of the trip she prefers before anyone can object.,Susan starts planning the family holiday in August because she wants to respect everyone's schedules and make it easier for the whole family to attend.,Starts planning the family holiday well in advance.,Starts planning the family holiday well in advance.,Lock in her preferred plan before others can push back.,Coordinate early for the good of the whole family.,Family members have the dates early enough to organize their schedules.,Family members have the dates early enough to organize their schedules.,Discuss family holiday plans early enough for everyone to prepare.,Discuss family holiday plans early enough for everyone to prepare.,A,A,motive,The same early planning can be cooperative or controlling; case A is worse because it uses planning to preempt others rather than to include them.,motive_main,candidate,"The situation, outward act, and immediate visible outcome are held constant across A and B.",Only the inward motive changes across the pair.,yes,codex_transformed_main_candidate_v0,draft,Main transformed Moral Stories candidate item pending double annotation.
